17,6,3,35131
17,8,3,48050
17,9,3,50051
17,10,3,49866
17,11,3,50011
17,13,3,50131
17,14,3,49470
17,15,3,49318
17,16,3,49464
17,18,3,54229
17,19,3,53874
17,20,3,51957
17,21,3,48631
17,23,3,40121
18,0,4,35629
18,1,4,34239
18,2,4,33967
18,4,4,32912
18,5,4,31804
18,6,4,33343
18,7,4,38229
18,9,4,46993
18,10,4,47049
18,11,4,47292
18,12,4,47382
18,14,4,47158
18,15,4,46893
18,16,4,46860
18,17,4,49747
18,19,4,52217
18,20,4,50169
18,21,4,47120
18,22,4,43284
19,0,5,34455
19,1,5,33317
19,2,5,33049
19,3,5,32110
19,5,5,30245
19,6,5,31087
19,7,5,36204
19,8,5,42904
19,10,5,45950
19,11,5,46155
19,12,5,45954
19,13,5,45754
19,15,5,45219
19,16,5,45290
19,17,5,48288
19,18,5,52145
19,20,5,49384
19,21,5,46179
19,22,5,42556
19,23,5,38159
20,1,6,33790
20,2,6,33384
20,3,6,32715
20,4,6,32045
20,6,6,31349
20,7,6,35077
20,8,6,42465
20,9,6,45854
20,11,6,47010
20,12,6,47402
20,13,6,47815
20,14,6,47097
20,16,6,46436
20,17,6,48908
20,18,6,51539
20,19,6,50612
20,21,6,44420
20,22,6,40832
20,23,6,37150
21,0,7,34214
21,2,7,33362
21,3,7,31949
21,4,7,31132
21,5,7,30089
21,7,7,30209
21,8,7,31700
21,9,7,34939
21,10,7,38441
21,12,7,40102
21,13,7,40413
21,14,7,39864
21,15,7,39182
21,17,7,40914
21,18,7,45863
21,19,7,45661
21,20,7,43007
21,22,7,37491
21,23,7,34752
22,0,1,32664
22,1,1,32093
22,3,1,30783
22,4,1,29861
22,5,1,28713
22,6,1,28573
22,8,1,28846
22,9,1,30623
22,10,1,34347
22,11,1,37280
22,13,1,39707
22,14,1,39344
22,15,1,38720
22,16,1,39024
22,18,1,46038
22,19,1,45864
22,20,1,43963
22,21,1,41694
22,23,1,35638
23,0,2,32841
23,1,2,32545
23,2,2,32626
23,4,2,31357
23,5,2,30829
23,6,2,30217
23,7,2,34474
23,9,2,44962
23,10,2,45760
23,11,2,46155
23,12,2,46243
23,14,2,46027
23,15,2,45928
23,16,2,45812
23,17,2,48470
23,19,2,52363
23,20,2,49999
23,21,2,46828
23,22,2,43372
24,0,3,35134
24,1,3,34942
24,2,3,35070
24,3,3,34312
24,5,3,32953
24,6,3,32653
24,7,3,37544
24,8,3,44574
24,10,3,48070
24,11,3,48428
24,12,3,48947
24,13,3,49058
24,15,3,48119
24,16,3,47671
24,17,3,50122
24,18,3,53329
24,20,3,49997
24,21,3,47159
24,22,3,43421
24,23,3,38954
25,1,4,34954
25,2,4,34895
25,3,4,33990
25,4,4,33251
25,6,4,32525
25,7,4,36423
25,8,4,42700
25,9,4,44751
25,11,4,45140
25,12,4,45502
25,13,4,45559
25,14,4,45339
25,16,4,45422
25,17,4,47905
25,18,4,51498
25,19,4,50664
25,21,4,45260
25,22,4,41720
25,23,4,37848
26,0,5,34770
26,2,5,34074
26,3,5,32994
26,4,5,32362
26,5,5,31464
26,7,5,36156
26,8,5,42513
26,9,5,44780
26,10,5,45647
26,12,5,46036
26,13,5,45945
26,14,5,45382
26,15,5,45380
26,17,5,47960
26,18,5,52575
26,19,5,52135
26,20,5,49986
26,22,5,43685
26,23,5,39031
27,0,6,35713
27,1,6,35107
27,3,6,34027
27,4,6,33242
27,5,6,32117
27,6,6,32730
27,8,6,43606
27,9,6,45627
27,10,6,46626
27,11,6,46720
27,13,6,46406
27,14,6,45890
27,15,6,45765
27,16,6,45185
27,18,6,51575
27,19,6,51082
27,20,6,48647
27,21,6,45427
27,23,6,38565
28,0,7,35867
28,1,7,34767
28,2,7,34798
28,4,7,33369
28,5,7,32219
28,6,7,31699
28,7,7,33048
28,9,7,37177
28,10,7,40919
28,11,7,42124
28,12,7,42113
28,14,7,41426
28,15,7,40801
28,16,7,40512
28,17,7,41979
28,19,7,47833
28,20,7,45421
28,21,7,42492
28,22,7,39628
29,0,1,34942
29,1,1,34562
29,2,1,34220
29,3,1,33183
29,5,1,31871
29,6,1,31199
29,7,1,31769
29,8,1,32252
29,10,1,37129
29,11,1,40313
29,12,1,41867
29,13,1,43060
29,15,1,42587
29,16,1,42816
29,17,1,44556
29,18,1,48445
29,20,1,45833
29,21,1,43426
29,22,1,40564
29,23,1,37106
30,1,2,33870
30,2,2,34012
30,3,2,33762
30,4,2,33729
30,6,2,33687
30,7,2,38231
30,8,2,45562
30,9,2,48153
30,11,2,50125
30,12,2,50030
30,13,2,49996
30,14,2,49762
30,16,2,49209
30,17,2,50591
30,18,2,53684
30,19,2,53826
30,21,2,48968
30,22,2,45708
30,23,2,40762
31,0,3,37039
31,2,3,36467
31,3,3,35993
31,4,3,35785
31,5,3,34714
31,7,3,39770
31,8,3,45846
31,9,3,48378
31,10,3,49618
31,12,3,50752
31,13,3,50790
31,14,3,50497
31,15,3,50807
31,17,3,51190
31,18,3,54059
31,19,3,54220
31,20,3,52749
31,22,3,46316
31,23,3,41728
32,0,4,38003
32,1,4,37703
32,3,4,36724
32,4,4,36887
32,5,4,35900
32,6,4,37388
32,8,4,47436
32,9,4,48847
32,10,4,49880
32,11,4,49919
32,13,4,49263
32,14,4,49676
32,15,4,49607
32,16,4,49249
32,18,4,54459
32,19,4,54914
32,20,4,53803
32,21,4,51177
32,23,4,43829
33,0,5,39716
33,1,5,38777
33,2,5,38691
33,4,5,37591
33,5,5,36988
33,6,5,38607
33,7,5,42778
33,9,5,51884
33,10,5,52306
33,11,5,52306
33,12,5,52150
33,14,5,51864
33,15,5,51520
33,16,5,51697
33,17,5,53496
33,19,5,56779
33,20,5,55333
33,21,5,52740
33,22,5,48865
34,0,6,41497
34,1,6,41011
34,2,6,40768
34,3,6,40294
34,5,6,39724
34,6,6,40430
34,7,6,43732
34,8,6,50148
34,10,6,53098
34,11,6,53383
34,12,6,52880
34,13,6,52035
34,15,6,50262
34,16,6,50356
34,17,6,50190
34,18,6,53591
34,20,6,52864
34,21,6,50168
34,22,6,47119
34,23,6,43276
35,1,7,40424
35,2,7,39849
35,3,7,38983
35,4,7,38955
35,6,7,37843
35,7,7,38601
35,8,7,38781
35,9,7,41354
35,11,7,47132
35,12,7,47670
35,13,7,47932
35,14,7,48040
35,16,7,47337
35,17,7,48182
35,18,7,51585
35,19,7,51774
35,21,7,46689
35,22,7,44013
35,23,7,41103
36,0,1,38622
36,2,1,37880
36,3,1,37232
36,4,1,37186
36,5,1,36380
36,7,1,36205
36,8,1,36737
36,9,1,37132
36,10,1,40257
36,12,1,45108
36,13,1,46705
36,14,1,46470
36,15,1,45848
36,17,1,46478
36,18,1,50516
36,19,1,51437
36,20,1,49414
36,22,1,44031
36,23,1,40480
37,0,2,38204
37,1,2,38394
37,3,2,38461
37,4,2,38046
37,5,2,37129
37,6,2,37178
37,8,2,47534
37,9,2,50010
37,10,2,51836
37,11,2,52259
37,13,2,52298
37,14,2,51779
37,15,2,51484
37,16,2,51624
37,18,2,55460
37,19,2,55966
37,20,2,55190
37,21,2,51038
37,23,2,42867
38,0,3,39945
38,1,3,39663
38,2,3,39581
38,4,3,39188
38,5,3,38803
38,6,3,39587
38,7,3,42366
38,9,3,51613
38,10,3,52961
38,11,3,53311
38,12,3,53178
38,14,3,52550
38,15,3,52404
38,16,3,52226
38,17,3,53957
38,19,3,57064
38,20,3,55492
38,21,3,52647
38,22,3,49044
39,0,4,41299
39,1,4,40953
39,2,4,41371
39,3,4,40758
39,5,4,39283
39,6,4,40489
39,7,4,44097
39,8,4,50273
39,10,4,54157
39,11,4,54754
39,12,4,54742
39,13,4,54981
39,15,4,54756
39,16,4,54673
39,17,4,56240
39,18,4,58464
39,20,4,56845
39,21,4,53949
39,22,4,50121
39,23,4,45467
40,1,5,41830
40,2,5,41920
